-------------------------------------------------------------------------------
Model constraints: 26540, variables: integer: 0, interval: 1530, sequence: 30
Solve status: Feasible
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 3.84 sec
-------------------------------------------------------------------------------

Trip_17 | Duty_04: absent
Trip_17 | Duty_05: absent
Trip_17 | Duty_06: absent
Trip_17 | Duty_07: absent
Trip_17 | Duty_08: (start=470, end=524, size=54, length=54)
Trip_17 | Duty_09: absent
Trip_17 | Duty_10: absent
Trip_17 | Duty_11: absent
Trip_17 | Duty_12: absent
Trip_17 | Duty_13: absent
Trip_17 | Duty_14: absent
Trip_17 | Duty_15: absent
Trip_17 | Duty_16: absent
Trip_17 | Duty_17: absent
Trip_17 | Duty_18: absent
Trip_17 | Duty_19: absent
Trip_17 | Duty_20: absent
Trip_17 | Duty_21: absent
Trip_17 | Duty_22: absent
Trip_17 | Duty_23: absent
Trip_17 | Duty_24: absent
Trip_17 | Duty_25: absent
Trip_17 | Duty_26: absent
Trip_17 | Duty_27: absent
Trip_17 | Duty_28: absent
Trip_17 | Duty_29: absent
Trip_18 | Duty_00: absent
Trip_18 | Duty_01: absent
Trip_18 | Duty_02: absent
Trip_18 | Duty_03: absent
Trip_18 | Duty_04: absent
Trip_18 | Duty_05: absent
Trip_18 | Duty_06: absent
Trip_18 | Duty_07: absent
Trip_18 | Duty_08: absent
Trip_18 | Duty_09: absent
Trip_18 | Duty_10: absent
Trip_18 | Duty_11: absent
Trip_18 | Duty_12: absent
Trip_18 | Duty_13: (start=480, end=534, size=54, length=54)
Trip_18 | Duty_14: absent
Trip_18 | Duty_15: absent
Trip_18 | Duty_16: absent
Trip_18 | Duty_17: absent
Trip_18 | Duty_18: absent
Trip_18 | Duty_19: absent
Trip_18 | Duty_20: absent
Trip_18 | Duty_21: absent
Trip_18 | Duty_22: absent
Trip_18 | Duty_23: absent
Trip_18 | Duty_24: absent
Trip_18 | Duty_25: absent
Trip_18 | Duty_26: absent
Trip_18 | Duty_27: absent
Trip_18 | Duty_28: absent
Trip_18 | Duty_29: absent
Trip_19 | Duty_00: absent
Trip_19 | Duty_01: absent
Trip_19 | Duty_02: absent
Trip_19 | Duty_03: absent
Trip_19 | Duty_04: absent
Trip_19 | Duty_05: absent
Trip_19 | Duty_06: absent
Trip_19 | Duty_07: absent
Trip_19 | Duty_08: absent
Trip_19 | Duty_09: absent
Trip_19 | Duty_10: absent
Trip_19 | Duty_11: absent
Trip_19 | Duty_12: (start=480, end=534, size=54, length=54)
Trip_19 | Duty_13: absent
Trip_19 | Duty_14: absent
Trip_19 | Duty_15: absent
Trip_19 | Duty_16: absent
Trip_19 | Duty_17: absent
Trip_19 | Duty_18: absent
Trip_19 | Duty_19: absent
Trip_19 | Duty_20: absent
Trip_19 | Duty_21: absent
Trip_19 | Duty_22: absent
Trip_19 | Duty_23: absent
Trip_19 | Duty_24: absent
Trip_19 | Duty_25: absent
Trip_19 | Duty_26: absent
